date;close;tradecount;close
26/07/2019 00:00;9,824E+11;299935;9879,87
25/07/2019 00:00;9,87987E+11;368176;9763,28
24/07/2019 00:00;9,76328E+11;424762;9864,91
23/07/2019 00:00;9,86491E+11;448147;10340,31
22/07/2019 00:00;1,03403E+12;389565;10589,45
21/07/2019 00:00;1,05895E+12;395452;10740,23
20/07/2019 00:00;1,07402E+12;461660;10504,29
19/07/2019 00:00;1,05043E+12;567735;10627,16
18/07/2019 00:00;1,06272E+12;734821;9667,92
17/07/2019 00:00;9,66792E+11;757742;9439,59
16/07/2019 00:00;9,43959E+11;796646;10838,72
15/07/2019 00:00;1,08387E+12;732206;10174,18
14/07/2019 00:00;1,01742E+12;649043;11355,76
13/07/2019 00:00;1,13558E+12;510305;11757,22
12/07/2019 00:00;1,17572E+12;537561;11342,89
11/07/2019 00:00;1,13429E+12;760057;12108,37
10/07/2019 00:00;1,21084E+12;899391;12543,41
09/07/2019 00:00;1,25434E+12;660273;12238,6
08/07/2019 00:00;1,22386E+12;507860;11406,24
07/07/2019 00:00;1,14062E+12;366769;11256,49
06/07/2019 00:00;1,12565E+12;470692;10970,73
05/07/2019 00:00;1,09707E+12;564857;11145,67
04/07/2019 00:00;1,11457E+12;643867;11940
03/07/2019 00:00;1,194E+12;814754;10842,85
02/07/2019 00:00;1,08429E+12;870148;10624,93
01/07/2019 00:00;1,06249E+12;757458;10854,1
30/06/2019 00:00;1,08541E+12;711267;11903,13
29/06/2019 00:00;1,19031E+12;732073;12400,63
28/06/2019 00:00;1,24006E+12;883116;11329,99
27/06/2019 00:00;1,133E+12;1357233;13093,8
26/06/2019 00:00;1,30938E+12;1355074;11820,86
25/06/2019 00:00;1,18209E+12;597798;11056,59
24/06/2019 00:00;1,10566E+12;440335;10906,07
23/06/2019 00:00;1,09061E+12;557935;10729,5
22/06/2019 00:00;1,07295E+12;923334;10159,86
21/06/2019 00:00;1,01599E+12;474344;9517,12
20/06/2019 00:00;9,51712E+11;350662;9255,49
19/06/2019 00:00;9,25549E+11;306202;9081,55
18/06/2019 00:00;9,08155E+11;449730;9313,96
17/06/2019 00:00;9,31396E+11;462160;8953,33
16/06/2019 00:00;8,95333E+11;552319;8808,7
15/06/2019 00:00;8,8087E+11;335840;8650
14/06/2019 00:00;8,65E+11;410072;8218,54
13/06/2019 00:00;8,21854E+11;341246;8127,64
12/06/2019 00:00;8,12764E+11;361980;7884,9
11/06/2019 00:00;7,8849E+11;309059;7982,75
10/06/2019 00:00;7,98275E+11;387179;7628,13
09/06/2019 00:00;7,62813E+11;322175;7893,62
08/06/2019 00:00;7,89362E+11;250864;7980,53
07/06/2019 00:00;7,98053E+11;323096;7786,7
06/06/2019 00:00;7,7867E+11;371485;7776,5
05/06/2019 00:00;7,7765E+11;426120;7687,03
04/06/2019 00:00;7,68703E+11;645913;8115,82
03/06/2019 00:00;8,11582E+11;431252;8725,98
02/06/2019 00:00;8,72598E+11;299353;8544,07
01/06/2019 00:00;8,54407E+11;348375;8555
31/05/2019 00:00;8,555E+11;416525;8269,54
30/05/2019 00:00;8,26954E+11;617341;8645,68
29/05/2019 00:00;8,64568E+11;352317;8715,64
28/05/2019 00:00;8,71564E+11;349123;8756,32
27/05/2019 00:00;8,75632E+11;478773;8614,43
26/05/2019 00:00;8,61443E+11;377306;8025,41
25/05/2019 00:00;8,02541E+11;264448;7964,87
24/05/2019 00:00;7,96487E+11;428676;7851,51
23/05/2019 00:00;7,85151E+11;449220;7628,43
22/05/2019 00:00;7,62843E+11;461337;7904,87
21/05/2019 00:00;7,90487E+11;554038;7938,15
20/05/2019 00:00;7,93815E+11;610360;8148,48
19/05/2019 00:00;8,14848E+11;583432;7257,45
18/05/2019 00:00;7,25745E+11;379504;7355,26
17/05/2019 00:00;7,35526E+11;803893;7866,59
16/05/2019 00:00;7,86659E+11;666538;8169,87
15/05/2019 00:00;8,16987E+11;347533;7947,56
14/05/2019 00:00;7,94756E+11;655426;7790,71
13/05/2019 00:00;7,79071E+11;588497;6967,31
12/05/2019 00:00;6,96731E+11;647345;7076,22
11/05/2019 00:00;7,07622E+11;562540;6373,33
10/05/2019 00:00;6,37333E+11;283074;6209,18
09/05/2019 00:00;6,20918E+11;227841;5987,29
08/05/2019 00:00;5,98729E+11;190966;5846,34
07/05/2019 00:00;5,84634E+11;301388;5747,79
06/05/2019 00:00;5,74779E+11;230431;5775,62
05/05/2019 00:00;5,77562E+11;185365;5829,45
04/05/2019 00:00;5,82945E+11;283145;5772,69
03/05/2019 00:00;5,77269E+11;338298;5492,87
02/05/2019 00:00;5,49287E+11;181896;5383,2
01/05/2019 00:00;5,3832E+11;161488;5320,81
30/04/2019 00:00;5,32081E+11;180989;5238,14
29/04/2019 00:00;5,23814E+11;178472;5307,52
28/04/2019 00:00;5,30752E+11;127730;5295,69
27/04/2019 00:00;5,29569E+11;145733;5314,1
26/04/2019 00:00;5,3141E+11;333183;5219,9
25/04/2019 00:00;5,2199E+11;331089;5415
24/04/2019 00:00;5,415E+11;339599;5493,31
23/04/2019 00:00;5,49331E+11;282563;5357,14
22/04/2019 00:00;5,35714E+11;210361;5256,14
21/04/2019 00:00;5,25614E+11;210494;5291,73
20/04/2019 00:00;5,29173E+11;157080;5258,68
19/04/2019 00:00;5,25868E+11;178148;5258,44
18/04/2019 00:00;5,25844E+11;167110;5202,82
17/04/2019 00:00;5,20282E+11;179490;5173,72
16/04/2019 00:00;5,17372E+11;168550;5024,95
15/04/2019 00:00;5,02495E+11;204944;5131,3
14/04/2019 00:00;5,1313E+11;131700;5045,22
13/04/2019 00:00;5,04522E+11;138674;5048,01
12/04/2019 00:00;5,04801E+11;226036;5017,37
11/04/2019 00:00;5,01737E+11;369304;5308,25
10/04/2019 00:00;5,30825E+11;260967;5150
09/04/2019 00:00;5,15E+11;253381;5236,9
08/04/2019 00:00;5,2369E+11;350828;5170,27
07/04/2019 00:00;5,17027E+11;274084;5043,89
